LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,FLAG_CODES,TOTAL_SPEND,Log_TOTAL_SPEND,Cluster_GMM,Prob_Cluster_0,Prob_Cluster_1,Prob_Cluster_2,Cluster_Label
AUS,1971,15.992,0.727,35.72,,462.11,6.13796460686186,2,0.11886236155978004,0.15545365564734967,0.7256839827928704,Low Spend
AUS,1972,15.091,0.686,36.056,,475.11,6.165648919970651,2,0.08112554965941048,0.07800898421113067,0.8408654661294589,Low Spend
AUS,1973,15.117,0.681,39.871,,533.47,6.281275601668206,2,0.09855649468870449,0.07972046171017359,0.8217230436011219,Low Spend
AUS,1974,14.771,0.755,47.559,,652.65,6.482572040007869,2,0.11285867995716826,0.06048630522478188,0.8266550148180498,Low Spend
AUS,1975,11.849,0.682,47.561,,660.76,6.494902952439955,2,0.025411389137018275,0.007303837469289826,0.9672847733936919,Low Spend
AUS,1976,10.92,0.63,46.908,,658.26,6.491117993870722,2,0.01615770276005866,0.004201945479728544,0.9796403517602129,Low Spend
AUS,1977,10.087,0.613,47.649,,676.23,6.518010949336828,2,0.011531702821430833,0.0026868682457353867,0.9857814289328338,Low Spend
AUS,1978,9.958,0.591,50.799,,729.37,6.593551255052778,2,0.012156243713930912,0.00244922724277868,0.9853945290432905,Low Spend
AUS,1979,8.981,0.523,49.766,,722.3,6.583824073855235,2,0.007963546010417676,0.0015883037957638145,0.9904481501938185,Low Spend
AUS,1980,9.263,0.54,56.972,,837.03,6.731053899363968,2,0.010980243785919728,0.0016676496982969183,0.9873521065157833,Low Spend
AUS,1981,9.388,0.548,65.39,,976.08,6.884568532006801,2,0.014348952127068819,0.0016422737449686144,0.9840087741279626,Low Spend
AUS,1982,9.248,0.564,67.606,,1026.12,6.9345140482828285,2,0.014487451192032588,0.001501963383114828,0.9840105854248524,Low Spend
AUS,1983,9.589,0.58,74.083,,1138.58,7.0384150524522,2,0.01941135497691721,0.0016852132960068012,0.978903431727076,Low Spend
AUS,1984,9.465,0.569,77.27,,1201.08,7.091808668620851,2,0.019791503119686985,0.0015447662876722102,0.9786637305926408,Low Spend
AUS,1985,9.56,0.58,84.134,,1325.78,7.1905102330973625,2,0.023660663007878276,0.0015458703765382504,0.9747934666155834,Low Spend
AUS,1986,9.568,0.599,89.94,,1440.69,7.2735713155379935,2,0.026621075941891278,0.0014914124727774618,0.9718875115853313,Low Spend
AUS,1987,9.543,0.582,93.578,,1521.94,7.3283979561900345,2,0.028375225831418563,0.0014331489288606758,0.9701916252397208,Low Spend
AUS,1988,9.823,0.595,102.027,,1686.73,7.4311397097554845,2,0.03711275734664129,0.0015857284996823443,0.9613015141536763,Low Spend
AUS,1989,10.199,0.623,111.197,,1869.71,7.53407331693313,2,0.05094897720110271,0.0018737145435814323,0.9471773082553159,Low Spend
AUS,1990,10.474,0.677,120.773,,2061.0,7.631431664576906,2,0.06631929779706257,0.0021146126535054096,0.9315660895494321,Low Spend
AUS,1991,10.937,0.739,134.356,,2322.21,7.750705129028926,2,0.09739962842143321,0.0026837988719371248,0.8999165727066296,Low Spend
AUS,1992,11.407,0.778,149.096,,2608.43,7.866887085661397,2,0.14239733377709335,0.003469436415459394,0.8541332298074473,Low Spend
AUS,1993,11.977,0.819,165.359,,2921.4,7.980160475481073,2,0.21473188929512776,0.004832139936697433,0.7804359707681748,Low Spend
AUS,1994,12.508,0.859,183.972,,3284.82,8.097371519251448,2,0.3104341014713922,0.006489448131939574,0.6830764503966681,Low Spend
AUS,1995,12.762,0.882,198.406,,3585.59,8.184957169354524,2,0.3762136335737189,0.007250975328760018,0.6165353910975209,Low Spend
AUS,1996,13.106,0.924,215.606,,3947.96,8.28120753208873,2,0.4655054591663828,0.008415667908966673,0.5260788729246503,Low Spend
AUS,1997,13.437,0.95,232.59,,4306.87,8.368198861404991,0,0.5528438463036858,0.009567964399308272,0.43758818929700577,High Spend
AUS,1998,14.084,1.019,261.728,,4897.19,8.496621028103153,0,0.6990089357004962,0.012169353202791479,0.28882171109671234,High Spend
AUS,1999,14.679,1.075,291.589,,5518.61,8.616062484601246,0,0.8065784943617426,0.014452828218977023,0.17896867741928033,High Spend
AUS,2000,15.702,1.194,338.665,,6486.45,8.77762482031535,0,0.909606655001019,0.019391680174048933,0.07100166482493207,High Spend
AUS,2001,16.059,1.236,364.771,,7081.3,8.865353992689647,0,0.9322464339802142,0.020466012460002746,0.04728755355978297,High Spend
AUS,2002,15.374,1.213,373.044,,7330.84,8.899981786572008,0,0.9110387844772752,0.013936757434930275,0.07502445808779458,High Spend
AUS,2003,15.761,1.244,401.302,,7984.06,8.9853275747098,0,0.9357746706191129,0.01492799496499824,0.04929733441588883,High Spend
AUS,2004,15.656,1.269,429.882,,8652.41,9.065708741894952,0,0.9402213937311967,0.012645708293940601,0.047132897974862704,High Spend
AUS,2005,15.218,1.213,432.513,,8821.02,9.08500614772194,0,0.9264450663727337,0.009943210970895467,0.0636117226563709,High Spend
AUS,2006,15.276,1.219,461.821,,9558.72,9.165313716913596,0,0.936977011802827,0.009109031279352916,0.053913956917820006,High Spend
AUS,2007,15.201,1.225,485.887,,10119.86,9.222353919467995,0,0.9396412872680546,0.008087508553026026,0.052271204178919374,High Spend
